Дата,Средняя температура,Город
24.07.2016,22.8,Paris
25.07.2016,23.1,Paris
26.07.2016,19.7,Paris
27.07.2016,20.4,Paris
28.07.2016,21.3,Paris
29.07.2016,21.9,Paris
30.07.2016,20.3,Paris
31.07.2016,20.4,Paris
01.08.2016,19.7,Paris
02.08.2016,19.2,Paris
03.08.2016,21.4,Paris
04.08.2016,18.7,Paris
05.08.2016,18.8,Paris
06.08.2016,19.8,Paris
07.08.2016,23.2,Paris
08.08.2016,19.3,Paris
09.08.2016,18.0,Paris
10.08.2016,15.5,Paris
11.08.2016,17.6,Paris
12.08.2016,20.6,Paris
13.08.2016,22.6,Paris
14.08.2016,21.8,Paris
15.08.2016,21.9,Paris
16.08.2016,23.0,Paris
17.08.2016,24.0,Paris
18.08.2016,20.6,Paris
19.08.2016,19.5,Paris
20.08.2016,19.2,Paris
21.08.2016,17.7,Paris
22.08.2016,22.2,Paris
23.08.2016,25.3,Paris
24.08.2016,27.9,Paris
25.08.2016,28.7,Paris
26.08.2016,29.4,Paris
27.08.2016,27.6,Paris
28.08.2016,23.7,Paris
29.08.2016,20.1,Paris
30.08.2016,20.9,Paris
31.08.2016,22.6,Paris
01.09.2016,21.1,Paris
02.09.2016,22.2,Paris
03.09.2016,22.4,Paris
04.09.2016,20.6,Paris
05.09.2016,17.9,Paris
06.09.2016,20.8,Paris
07.09.2016,22.0,Paris
08.09.2016,20.0,Paris
09.09.2016,19.9,Paris
10.09.2016,21.0,Paris
11.09.2016,21.1,Paris
12.09.2016,24.2,Paris
13.09.2016,25.7,Paris
14.09.2016,22.7,Paris
15.09.2016,17.8,Paris
16.09.2016,16.9,Paris
17.09.2016,15.1,Paris
18.09.2016,16.6,Paris
19.09.2016,17.1,Paris
20.09.2016,17.2,Paris
21.09.2016,16.5,Paris
22.09.2016,17.5,Paris
23.09.2016,18.3,Paris
24.09.2016,17.9,Paris
25.09.2016,16.2,Paris
26.09.2016,15.3,Paris
27.09.2016,17.3,Paris
28.09.2016,18.9,Paris
29.09.2016,17.4,Paris
30.09.2016,15.4,Paris
01.10.2016,14.7,Paris
02.10.2016,13.4,Paris
03.10.2016,13.4,Paris
04.10.2016,14.7,Paris
05.10.2016,12.9,Paris
06.10.2016,10.9,Paris
07.10.2016,12.2,Paris
08.10.2016,12.9,Paris
09.10.2016,10.9,Paris
10.10.2016,9.7,Paris
11.10.2016,9.2,Paris
12.10.2016,9.6,Paris
13.10.2016,9.1,Paris
14.10.2016,11.2,Paris
15.10.2016,12.5,Paris
16.10.2016,14.4,Paris
17.10.2016,13.9,Paris
18.10.2016,12.0,Paris
19.10.2016,10.7,Paris
20.10.2016,11.4,Paris
21.10.2016,11.2,Paris
22.10.2016,10.0,Paris
23.10.2016,9.2,Paris
24.10.2016,12.4,Paris
25.10.2016,13.2,Paris
26.10.2016,11.6,Paris
27.10.2016,11.2,Paris
28.10.2016,11.4,Paris
29.10.2016,12.7,Paris
30.10.2016,12.3,Paris
31.10.2016,12.4,Paris
01.11.2016,10.9,Paris
02.11.2016,10.4,Paris
03.11.2016,7.1,Paris
04.11.2016,6.4,Paris
05.11.2016,8.8,Paris
06.11.2016,6.4,Paris
07.11.2016,3.3,Paris
08.11.2016,5.5,Paris
09.11.2016,7.4,Paris
10.11.2016,9.1,Paris
